DATE,TIME OF DAY,NUMBER OF CRASHES,PERSONS INJURED,PERSONS KILLED,PEAK LOCATION,MAIN FACTOR,MAIN TYPE OF CAR
2015-03-31,EVENING,81,34,0,westchester avenue              ,unspecified,passenger vehicle
2015-03-31,MORNING,168,25,0,east 23 street                  ,unspecified,passenger vehicle
2015-03-31,SMALL HOURS,25,4,0,nostrand avenue                 ,driver inattention/distraction,passenger vehicle
2015-04-01,AFTERNOON,210,47,0,broadway                        ,unspecified,passenger vehicle
2015-04-01,EVENING,68,14,0,east 38 street                  ,unspecified,passenger vehicle
2015-04-01,MORNING,157,35,0,northern boulevard              ,unspecified,passenger vehicle
2015-04-01,SMALL HOURS,30,8,0,41 street                       ,unspecified,passenger vehicle
2015-04-02,AFTERNOON,221,41,0,6 avenue                        ,unspecified,passenger vehicle
2015-04-02,EVENING,86,30,1,west 145 street                 ,unspecified,passenger vehicle
2015-04-02,MORNING,152,27,1,3 avenue                        ,unspecified,passenger vehicle
2015-04-02,SMALL HOURS,22,7,0,linden boulevard                ,unspecified,passenger vehicle
2015-04-03,AFTERNOON,131,28,0,broadway                        ,unspecified,passenger vehicle
2015-04-03,EVENING,46,15,0,grand concourse                 ,unspecified,passenger vehicle
2015-04-03,MORNING,104,11,0,6 avenue                        ,unspecified,passenger vehicle
2015-04-03,SMALL HOURS,45,10,0,east 23 street                  ,unspecified,passenger vehicle
2015-04-04,AFTERNOON,145,36,0,northern boulevard              ,unspecified,passenger vehicle
2015-04-04,EVENING,72,20,0,20 avenue                       ,unspecified,passenger vehicle
2015-04-04,MORNING,95,18,0,west 113 street                 ,unspecified,passenger vehicle
2015-04-04,SMALL HOURS,48,11,0,lafayette avenue                ,unspecified,passenger vehicle
2015-04-05,AFTERNOON,116,33,1,hillside avenue                 ,unspecified,passenger vehicle
2015-04-05,EVENING,65,20,0,8 avenue                        ,unspecified,passenger vehicle
2015-04-05,MORNING,66,17,0,rogers avenue                   ,unspecified,passenger vehicle
2015-04-05,SMALL HOURS,52,26,0,3 avenue                        ,unspecified,passenger vehicle
2015-04-06,AFTERNOON,165,36,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-04-06,EVENING,62,15,0,bay street                      ,unspecified,passenger vehicle
2015-04-06,MORNING,105,21,0,hylan boulevard                 ,unspecified,passenger vehicle
2015-04-06,SMALL HOURS,35,12,0,1 avenue                        ,unspecified,passenger vehicle
2015-04-07,AFTERNOON,138,36,0,queens boulevard                ,unspecified,passenger vehicle
2015-04-07,EVENING,71,25,0,west street                     ,unspecified,passenger vehicle
2015-04-07,MORNING,102,8,0,east 58 street                  ,unspecified,passenger vehicle
2015-04-07,SMALL HOURS,39,9,0,pitkin avenue                   ,unspecified,passenger vehicle
2015-04-08,AFTERNOON,145,27,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-04-08,EVENING,71,12,0,4 avenue                        ,unspecified,passenger vehicle
2015-04-08,MORNING,108,13,0,varick street                   ,unspecified,passenger vehicle
2015-04-08,SMALL HOURS,27,7,0,2 avenue                        ,unspecified,passenger vehicle
2015-04-09,AFTERNOON,139,19,0,broadway                        ,unspecified,passenger vehicle
2015-04-09,EVENING,72,26,0,sutphin boulevard               ,unspecified,passenger vehicle
2015-04-09,MORNING,93,9,0,pennsylvania avenue             ,unspecified,passenger vehicle
2015-04-09,SMALL HOURS,33,10,0,226 street                      ,unspecified,passenger vehicle
2015-04-10,AFTERNOON,157,33,0,3 avenue                        ,unspecified,passenger vehicle
2015-04-10,EVENING,65,19,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-04-10,MORNING,106,21,0,broadway                        ,unspecified,passenger vehicle
2015-04-10,SMALL HOURS,32,11,0,queens boulevard                ,unspecified,passenger vehicle
2015-04-11,AFTERNOON,157,25,0,hillside avenue                 ,unspecified,passenger vehicle
2015-04-11,EVENING,107,33,0,nostrand avenue                 ,unspecified,passenger vehicle
2015-04-11,MORNING,90,12,0,5 avenue                        ,unspecified,passenger vehicle
2015-04-11,SMALL HOURS,67,25,0,linden boulevard                ,unspecified,passenger vehicle
2015-04-12,AFTERNOON,145,35,0,broadway                        ,unspecified,passenger vehicle
2015-04-12,EVENING,60,23,1,60 street                       ,unspecified,passenger vehicle
2015-04-12,MORNING,59,9,0,broadway                        ,unspecified,passenger vehicle
2015-04-12,SMALL HOURS,60,13,0,west 14 street                  ,unspecified,passenger vehicle
2015-04-13,AFTERNOON,202,44,0,northern boulevard              ,unspecified,passenger vehicle
2015-04-13,EVENING,58,16,0,77 street                       ,unspecified,passenger vehicle
2015-04-13,MORNING,137,29,0,grand avenue                    ,unspecified,passenger vehicle
2015-04-13,SMALL HOURS,33,4,0,jesup avenue                    ,unspecified,passenger vehicle
2015-04-14,AFTERNOON,166,28,0,park avenue                     ,unspecified,passenger vehicle
2015-04-14,EVENING,60,24,0,hillside avenue                 ,unspecified,passenger vehicle
2015-04-14,MORNING,139,27,0,broadway                        ,unspecified,passenger vehicle
2015-04-14,SMALL HOURS,28,7,0,ridge boulevard                 ,unspecified,passenger vehicle
2015-04-15,AFTERNOON,215,43,0,broadway                        ,unspecified,passenger vehicle
2015-04-15,EVENING,74,26,0,4 avenue                        ,unspecified,passenger vehicle
2015-04-15,MORNING,136,27,0,broadway                        ,unspecified,passenger vehicle
2015-04-15,SMALL HOURS,22,10,0,broadway                        ,unspecified,passenger vehicle
2015-04-16,AFTERNOON,165,35,0,5 avenue                        ,unspecified,passenger vehicle
2015-04-16,EVENING,72,15,0,37 avenue                       ,unspecified,passenger vehicle
2015-04-16,MORNING,150,23,1,hillside avenue                 ,unspecified,passenger vehicle
2015-04-16,SMALL HOURS,23,7,0,82 street                       ,unspecified,passenger vehicle
2015-04-17,AFTERNOON,207,38,0,fulton street                   ,unspecified,passenger vehicle
2015-04-17,EVENING,102,20,0,9 avenue                        ,unspecified,passenger vehicle
2015-04-17,MORNING,156,57,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-04-17,SMALL HOURS,42,21,0,linden boulevard                ,unspecified,passenger vehicle
2015-04-18,AFTERNOON,174,45,0,broadway                        ,unspecified,passenger vehicle
2015-04-18,EVENING,104,33,0,broadway                        ,unspecified,passenger vehicle
2015-04-18,MORNING,104,13,1,east gun hill road              ,unspecified,passenger vehicle
2015-04-18,SMALL HOURS,55,33,1,3 avenue                        ,unspecified,passenger vehicle
2015-04-19,AFTERNOON,130,29,0,jerome avenue                   ,unspecified,passenger vehicle
2015-04-19,EVENING,61,21,0,11 avenue                       ,unspecified,passenger vehicle
2015-04-19,MORNING,78,20,0,fulton street                   ,unspecified,passenger vehicle
2015-04-19,SMALL HOURS,63,29,0,broadway                        ,unspecified,passenger vehicle
2015-04-20,AFTERNOON,203,37,0,east 49 street                  ,unspecified,passenger vehicle
2015-04-20,EVENING,67,11,1,6 avenue                        ,unspecified,passenger vehicle
2015-04-20,MORNING,181,47,0,hylan boulevard                 ,unspecified,passenger vehicle
2015-04-20,SMALL HOURS,32,5,0,rockaway avenue                 ,unspecified,passenger vehicle
2015-04-21,AFTERNOON,186,54,0,queens boulevard                ,unspecified,passenger vehicle
2015-04-21,EVENING,73,17,0,hillside avenue                 ,unspecified,passenger vehicle
2015-04-21,MORNING,174,32,0,woodhaven boulevard             ,unspecified,passenger vehicle
2015-04-21,SMALL HOURS,30,10,1,linden boulevard                ,unspecified,passenger vehicle
2015-04-22,AFTERNOON,175,42,0,1 avenue                        ,unspecified,passenger vehicle
2015-04-22,EVENING,59,19,0,northern boulevard              ,unspecified,passenger vehicle
2015-04-22,MORNING,144,24,0,victory boulevard               ,unspecified,passenger vehicle
2015-04-22,SMALL HOURS,17,3,0,webster avenue                  ,unspecified,passenger vehicle
2015-04-23,AFTERNOON,187,39,0,1 avenue                        ,unspecified,passenger vehicle
2015-04-23,EVENING,80,15,0,9 avenue                        ,unspecified,passenger vehicle
2015-04-23,MORNING,156,26,0,11 avenue                       ,unspecified,passenger vehicle
2015-04-23,SMALL HOURS,27,8,0,fulton street                   ,unspecified,passenger vehicle
2015-04-24,AFTERNOON,205,49,0,8 avenue                        ,unspecified,passenger vehicle
2015-04-24,EVENING,94,22,0,crescent street                 ,unspecified,passenger vehicle
2015-04-24,MORNING,177,33,0,ocean parkway                   ,unspecified,passenger vehicle
2015-04-24,SMALL HOURS,43,17,0,roosevelt avenue                ,unspecified,passenger vehicle
2015-04-25,AFTERNOON,158,36,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-04-25,EVENING,86,19,0,woodhaven boulevard             ,unspecified,passenger vehicle
2015-04-25,MORNING,110,32,0,brookville boulevard            ,unspecified,passenger vehicle
2015-04-25,SMALL HOURS,53,13,1,atlantic avenue                 ,unspecified,passenger vehicle
2015-04-26,AFTERNOON,123,41,0,bedford avenue                  ,unspecified,passenger vehicle
2015-04-26,EVENING,79,17,1,8 avenue                        ,unspecified,passenger vehicle
2015-04-26,MORNING,86,19,0,115 street                      ,unspecified,passenger vehicle
2015-04-26,SMALL HOURS,69,21,1,nostrand avenue                 ,unspecified,passenger vehicle
2015-04-27,AFTERNOON,194,34,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-04-27,EVENING,57,17,0,avenue i                        ,unspecified,passenger vehicle
2015-04-27,MORNING,143,22,0,broadway                        ,unspecified,passenger vehicle
2015-04-27,SMALL HOURS,27,9,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-04-28,AFTERNOON,207,40,0,south conduit avenue            ,unspecified,passenger vehicle
2015-04-28,EVENING,72,13,0,broadway                        ,unspecified,passenger vehicle
2015-04-28,MORNING,144,29,0,jamaica avenue                  ,unspecified,passenger vehicle
2015-04-28,SMALL HOURS,25,5,2,amsterdam avenue                ,unspecified,passenger vehicle
2015-04-29,AFTERNOON,208,53,0,park avenue                     ,unspecified,passenger vehicle
2015-04-29,EVENING,91,20,0,lorimer street                  ,unspecified,passenger vehicle
2015-04-29,MORNING,146,30,0,myrtle avenue                   ,unspecified,passenger vehicle
2015-04-29,SMALL HOURS,39,16,0,avenue of the americas          ,unspecified,passenger vehicle
2015-04-30,AFTERNOON,180,35,0,queens boulevard                ,unspecified,passenger vehicle
2015-04-30,EVENING,68,15,0,nostrand avenue                 ,unspecified,passenger vehicle
2015-04-30,MORNING,185,35,0,broadway                        ,unspecified,passenger vehicle
2015-04-30,SMALL HOURS,46,8,0,hillside avenue                 ,unspecified,passenger vehicle
2015-05-01,AFTERNOON,221,45,1,5 avenue                        ,unspecified,passenger vehicle
2015-05-01,EVENING,93,19,0,65 street                       ,unspecified,passenger vehicle
2015-05-01,MORNING,133,33,0,linden boulevard                ,unspecified,passenger vehicle
2015-05-01,SMALL HOURS,29,9,0,georgia avenue                  ,unspecified,passenger vehicle
2015-05-02,AFTERNOON,135,21,0,northern boulevard              ,unspecified,passenger vehicle
2015-05-02,EVENING,82,31,0,delancey street                 ,unspecified,sport utility / station wagon
2015-05-02,MORNING,98,15,0,linden boulevard                ,unspecified,passenger vehicle
2015-05-02,SMALL HOURS,59,15,0,east 57 street                  ,unspecified,passenger vehicle
2015-05-03,AFTERNOON,152,37,0,queens boulevard                ,unspecified,passenger vehicle
2015-05-03,EVENING,80,19,0,broadway                        ,unspecified,passenger vehicle
2015-05-03,MORNING,80,18,0,nostrand avenue                 ,unspecified,passenger vehicle
2015-05-03,SMALL HOURS,95,28,0,west kingsbridge road           ,unspecified,passenger vehicle
2015-05-04,AFTERNOON,194,49,0,2 avenue                        ,unspecified,passenger vehicle
2015-05-04,EVENING,66,18,1,flatbush avenue                 ,unspecified,passenger vehicle
2015-05-04,MORNING,178,51,0,queens boulevard                ,unspecified,passenger vehicle
2015-05-04,SMALL HOURS,38,16,0,roosevelt avenue                ,unspecified,passenger vehicle
2015-05-05,AFTERNOON,202,47,0,linden boulevard                ,unspecified,passenger vehicle
2015-05-05,EVENING,65,14,0,10 avenue                       ,unspecified,passenger vehicle
2015-05-05,MORNING,165,30,0,3 avenue                        ,unspecified,passenger vehicle
2015-05-05,SMALL HOURS,36,11,0,bowery                          ,unspecified,passenger vehicle
2015-05-06,AFTERNOON,190,34,1,northern boulevard              ,unspecified,passenger vehicle
2015-05-06,EVENING,67,14,0,9 avenue                        ,unspecified,passenger vehicle
2015-05-06,MORNING,138,29,0,francis lewis boulevard         ,unspecified,passenger vehicle
2015-05-06,SMALL HOURS,32,5,0,flatbush avenue                 ,unspecified,passenger vehicle
2015-05-07,AFTERNOON,200,47,0,broadway                        ,unspecified,passenger vehicle
2015-05-07,EVENING,94,27,0,2 avenue                        ,unspecified,passenger vehicle
2015-05-07,MORNING,174,28,0,broadway                        ,unspecified,passenger vehicle
2015-05-07,SMALL HOURS,24,6,0,armstrong avenue                ,unspecified,passenger vehicle
2015-05-08,AFTERNOON,217,56,1,broadway                        ,unspecified,passenger vehicle
2015-05-08,EVENING,90,23,0,northern boulevard              ,unspecified,passenger vehicle
2015-05-08,MORNING,152,36,0,east 37 street                  ,unspecified,passenger vehicle
2015-05-08,SMALL HOURS,42,13,0,madison avenue                  ,unspecified,passenger vehicle
2015-05-09,AFTERNOON,156,22,1,broadway                        ,unspecified,passenger vehicle
2015-05-09,EVENING,77,22,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-05-09,MORNING,95,12,0,givan avenue                    ,unspecified,passenger vehicle
2015-05-09,SMALL HOURS,70,22,0,east gun hill road              ,unspecified,passenger vehicle
2015-05-10,AFTERNOON,157,52,0,linden boulevard                ,unspecified,passenger vehicle
2015-05-10,EVENING,82,31,1,college point boulevard         ,unspecified,passenger vehicle
2015-05-10,MORNING,91,28,0,pennsylvania avenue             ,unspecified,passenger vehicle
2015-05-10,SMALL HOURS,75,19,1,broadway                        ,unspecified,passenger vehicle
2015-05-11,AFTERNOON,201,73,0,linden boulevard                ,unspecified,passenger vehicle
2015-05-11,EVENING,88,30,1,9 avenue                        ,unspecified,passenger vehicle
2015-05-11,MORNING,166,34,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-05-11,SMALL HOURS,40,10,0,queens boulevard                ,unspecified,passenger vehicle
2015-05-12,AFTERNOON,195,52,0,bushwick avenue                 ,unspecified,passenger vehicle
2015-05-12,EVENING,95,28,0,2 avenue                        ,unspecified,passenger vehicle
2015-05-12,MORNING,167,25,1,linden boulevard                ,unspecified,passenger vehicle
2015-05-12,SMALL HOURS,37,13,0,bruckner boulevard              ,unspecified,passenger vehicle
2015-05-13,AFTERNOON,198,45,0,ocean avenue                    ,unspecified,passenger vehicle
2015-05-13,EVENING,78,22,0,bedford avenue                  ,unspecified,passenger vehicle
2015-05-13,MORNING,165,41,1,northern boulevard              ,unspecified,passenger vehicle
2015-05-13,SMALL HOURS,39,11,0,flatbush avenue                 ,unspecified,passenger vehicle
2015-05-14,AFTERNOON,183,49,0,northern boulevard              ,unspecified,passenger vehicle
2015-05-14,EVENING,103,30,1,east tremont avenue             ,unspecified,passenger vehicle
2015-05-14,MORNING,168,39,0,broadway                        ,unspecified,passenger vehicle
2015-05-14,SMALL HOURS,34,15,0,throop avenue                   ,unspecified,passenger vehicle
2015-05-15,AFTERNOON,223,53,0,flatbush avenue                 ,unspecified,passenger vehicle
2015-05-15,EVENING,104,30,1,broadway                        ,unspecified,passenger vehicle
2015-05-15,MORNING,155,35,0,bedford avenue                  ,unspecified,passenger vehicle
2015-05-15,SMALL HOURS,50,2,0,3 avenue                        ,unspecified,passenger vehicle
2015-05-16,AFTERNOON,151,38,0,linden boulevard                ,unspecified,passenger vehicle
2015-05-16,EVENING,119,39,1,webster avenue                  ,unspecified,passenger vehicle
2015-05-16,MORNING,123,25,0,ocean avenue                    ,unspecified,passenger vehicle
2015-05-16,SMALL HOURS,80,34,0,northern boulevard              ,unspecified,passenger vehicle
2015-05-17,AFTERNOON,150,41,0,west 58 street                  ,unspecified,passenger vehicle
2015-05-17,EVENING,90,39,1,broadway                        ,unspecified,passenger vehicle
2015-05-17,MORNING,76,34,0,8 avenue                        ,unspecified,passenger vehicle
2015-05-17,SMALL HOURS,64,21,0,broadway                        ,unspecified,passenger vehicle
2015-05-18,AFTERNOON,193,26,0,broadway                        ,unspecified,passenger vehicle
2015-05-18,EVENING,73,23,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-05-18,MORNING,137,25,0,broadway                        ,unspecified,passenger vehicle
2015-05-18,SMALL HOURS,30,8,0,5 avenue                        ,unspecified,passenger vehicle
2015-05-19,AFTERNOON,175,37,0,west street                     ,unspecified,passenger vehicle
2015-05-19,EVENING,86,29,0,northern boulevard              ,unspecified,passenger vehicle
2015-05-19,MORNING,145,28,1,10 avenue                       ,unspecified,passenger vehicle
2015-05-19,SMALL HOURS,28,8,0,linden boulevard                ,unspecified,passenger vehicle
2015-05-20,AFTERNOON,205,48,1,broadway                        ,unspecified,passenger vehicle
2015-05-20,EVENING,98,27,0,flushing avenue                 ,unspecified,passenger vehicle
2015-05-20,MORNING,154,32,0,pennsylvania avenue             ,unspecified,passenger vehicle
2015-05-20,SMALL HOURS,33,4,0,10 avenue                       ,unspecified,passenger vehicle
2015-05-21,AFTERNOON,178,43,0,queens boulevard                ,unspecified,passenger vehicle
2015-05-21,EVENING,86,28,0,broadway                        ,unspecified,passenger vehicle
2015-05-21,MORNING,147,25,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-05-21,SMALL HOURS,27,4,0,broadway                        ,unspecified,passenger vehicle
2015-05-22,AFTERNOON,225,39,0,nostrand avenue                 ,unspecified,passenger vehicle
2015-05-22,EVENING,97,28,1,jamaica avenue                  ,unspecified,passenger vehicle
2015-05-22,MORNING,149,33,0,flushing avenue                 ,unspecified,passenger vehicle
2015-05-22,SMALL HOURS,47,16,0,6 avenue                        ,unspecified,passenger vehicle
2015-05-23,AFTERNOON,148,41,0,west 57 street                  ,unspecified,passenger vehicle
2015-05-23,EVENING,72,22,0,ocean parkway                   ,unspecified,passenger vehicle
2015-05-23,MORNING,103,18,0,60 street                       ,unspecified,passenger vehicle
2015-05-23,SMALL HOURS,61,21,0,35 avenue                       ,unspecified,passenger vehicle
2015-05-24,AFTERNOON,124,34,0,fulton street                   ,unspecified,passenger vehicle
2015-05-24,EVENING,74,25,0,2 avenue                        ,unspecified,passenger vehicle
2015-05-24,MORNING,76,11,0,broadway                        ,unspecified,passenger vehicle
2015-05-24,SMALL HOURS,61,22,0,autumn avenue                   ,unspecified,passenger vehicle
2015-05-25,AFTERNOON,124,44,1,broadway                        ,unspecified,passenger vehicle
2015-05-25,EVENING,75,30,0,fulton street                   ,unspecified,passenger vehicle
2015-05-25,MORNING,61,21,0,flatbush avenue                 ,unspecified,passenger vehicle
2015-05-25,SMALL HOURS,50,5,1,washington avenue               ,unspecified,passenger vehicle
2015-05-26,AFTERNOON,230,45,0,queens boulevard                ,unspecified,passenger vehicle
2015-05-26,EVENING,75,16,0,9 avenue                        ,unspecified,passenger vehicle
2015-05-26,MORNING,171,37,1,broadway                        ,unspecified,passenger vehicle
2015-05-26,SMALL HOURS,31,4,1,broadway                        ,unspecified,passenger vehicle
2015-05-27,AFTERNOON,219,52,0,ocean parkway                   ,unspecified,passenger vehicle
2015-05-27,EVENING,98,29,1,east 163 street                 ,unspecified,passenger vehicle
2015-05-27,MORNING,158,31,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-05-27,SMALL HOURS,24,7,0,herkimer street                 ,unspecified,passenger vehicle
2015-05-28,AFTERNOON,212,62,0,3 avenue                        ,unspecified,passenger vehicle
2015-05-28,EVENING,96,25,0,southern boulevard              ,unspecified,passenger vehicle
2015-05-28,MORNING,169,27,0,5 avenue                        ,unspecified,passenger vehicle
2015-05-28,SMALL HOURS,32,10,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-05-29,AFTERNOON,257,50,0,broadway                        ,unspecified,passenger vehicle
2015-05-29,EVENING,139,48,0,11 avenue                       ,unspecified,passenger vehicle
2015-05-29,MORNING,165,33,0,3 avenue                        ,unspecified,passenger vehicle
2015-05-29,SMALL HOURS,37,18,0,5 avenue                        ,unspecified,passenger vehicle
2015-05-30,AFTERNOON,184,54,0,broadway                        ,unspecified,passenger vehicle
2015-05-30,EVENING,99,29,1,2 avenue                        ,unspecified,passenger vehicle
2015-05-30,MORNING,100,25,0,east 79 street                  ,unspecified,passenger vehicle
2015-05-30,SMALL HOURS,57,13,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-05-31,AFTERNOON,163,42,0,woodhaven boulevard             ,unspecified,passenger vehicle
2015-05-31,EVENING,87,28,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-05-31,MORNING,81,25,0,east 38 street                  ,unspecified,passenger vehicle
2015-05-31,SMALL HOURS,72,23,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-01,AFTERNOON,198,46,0,7 avenue                        ,unspecified,passenger vehicle
2015-06-01,EVENING,103,27,0,1 avenue                        ,unspecified,passenger vehicle
2015-06-01,MORNING,194,37,0,main street                     ,unspecified,passenger vehicle
2015-06-01,SMALL HOURS,37,15,0,flatbush avenue                 ,unspecified,passenger vehicle
2015-06-02,AFTERNOON,222,60,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-02,EVENING,88,25,0,bedford avenue                  ,unspecified,passenger vehicle
2015-06-02,MORNING,144,34,0,merrick boulevard               ,unspecified,passenger vehicle
2015-06-02,SMALL HOURS,32,9,1,bedford avenue                  ,unspecified,passenger vehicle
2015-06-03,AFTERNOON,227,59,1,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-03,EVENING,99,37,1,8 avenue                        ,unspecified,passenger vehicle
2015-06-03,MORNING,133,37,0,east 76 street                  ,unspecified,passenger vehicle
2015-06-03,SMALL HOURS,31,3,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-04,AFTERNOON,186,47,1,broadway                        ,unspecified,passenger vehicle
2015-06-04,EVENING,76,26,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-04,MORNING,117,22,1,pitkin avenue                   ,unspecified,passenger vehicle
2015-06-04,SMALL HOURS,28,6,0,east 123 street                 ,unspecified,passenger vehicle
2015-06-05,AFTERNOON,210,36,0,northern boulevard              ,unspecified,passenger vehicle
2015-06-05,EVENING,92,18,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-05,MORNING,156,34,0,broadway                        ,unspecified,passenger vehicle
2015-06-05,SMALL HOURS,42,8,0,5 avenue                        ,unspecified,passenger vehicle
2015-06-06,AFTERNOON,170,43,0,broadway                        ,unspecified,passenger vehicle
2015-06-06,EVENING,110,33,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-06,MORNING,98,26,0,jamaica avenue                  ,unspecified,passenger vehicle
2015-06-06,SMALL HOURS,65,30,0,jerome avenue                   ,unspecified,passenger vehicle
2015-06-07,AFTERNOON,162,43,0,broadway                        ,unspecified,passenger vehicle
2015-06-07,EVENING,81,20,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-07,MORNING,87,28,0,neptune avenue                  ,unspecified,passenger vehicle
2015-06-07,SMALL HOURS,64,24,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-08,AFTERNOON,193,63,0,northern boulevard              ,unspecified,passenger vehicle
2015-06-08,EVENING,78,27,0,east 46 street                  ,unspecified,passenger vehicle
2015-06-08,MORNING,145,31,0,broadway                        ,unspecified,passenger vehicle
2015-06-08,SMALL HOURS,36,2,0,northern boulevard              ,unspecified,passenger vehicle
2015-06-09,AFTERNOON,187,53,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-09,EVENING,82,21,0,west 57 street                  ,unspecified,passenger vehicle
2015-06-09,MORNING,163,29,0,broadway                        ,unspecified,passenger vehicle
2015-06-09,SMALL HOURS,35,6,0,3 avenue                        ,unspecified,passenger vehicle
2015-06-10,AFTERNOON,197,51,0,broadway                        ,unspecified,passenger vehicle
2015-06-10,EVENING,106,33,0,woodhaven boulevard             ,unspecified,passenger vehicle
2015-06-10,MORNING,164,49,0,flatbush avenue                 ,unspecified,passenger vehicle
2015-06-10,SMALL HOURS,30,12,0,pennsylvania avenue             ,unspecified,passenger vehicle
2015-06-11,AFTERNOON,206,36,0,broadway                        ,unspecified,passenger vehicle
2015-06-11,EVENING,91,21,0,8 avenue                        ,unspecified,passenger vehicle
2015-06-11,MORNING,142,23,0,2 avenue                        ,unspecified,passenger vehicle
2015-06-11,SMALL HOURS,28,9,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-12,AFTERNOON,136,29,0,flatlands avenue                ,unspecified,passenger vehicle
2015-06-12,EVENING,36,21,0,101 street                      ,unspecified,passenger vehicle
2015-06-12,MORNING,129,29,0,90 avenue                       ,unspecified,passenger vehicle
2015-06-12,SMALL HOURS,34,7,0,broadway                        ,unspecified,passenger vehicle
2015-06-13,AFTERNOON,128,27,0,remsen avenue                   ,unspecified,passenger vehicle
2015-06-13,EVENING,76,31,0,coney island avenue             ,unspecified,passenger vehicle
2015-06-13,MORNING,54,17,0,canal street                    ,unspecified,passenger vehicle
2015-06-13,SMALL HOURS,26,9,0,park avenue                     ,unspecified,passenger vehicle
2015-06-14,AFTERNOON,162,43,0,broadway                        ,unspecified,passenger vehicle
2015-06-14,EVENING,105,19,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-14,MORNING,79,16,0,150 street                      ,unspecified,passenger vehicle
2015-06-14,SMALL HOURS,64,24,1,grand concourse                 ,unspecified,passenger vehicle
2015-06-15,AFTERNOON,134,22,1,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-15,EVENING,42,11,0,broadway                        ,unspecified,passenger vehicle
2015-06-15,MORNING,129,21,0,west 46 street                  ,unspecified,passenger vehicle
2015-06-15,SMALL HOURS,44,15,0,6 avenue                        ,unspecified,passenger vehicle
2015-06-16,AFTERNOON,186,39,0,3 avenue                        ,unspecified,passenger vehicle
2015-06-16,EVENING,83,38,0,9 avenue                        ,unspecified,passenger vehicle
2015-06-16,MORNING,154,31,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-16,SMALL HOURS,14,5,0,60 street                       ,unspecified,passenger vehicle
2015-06-17,AFTERNOON,210,59,0,11 avenue                       ,unspecified,passenger vehicle
2015-06-17,EVENING,97,24,0,west 49 street                  ,unspecified,passenger vehicle
2015-06-17,MORNING,165,31,0,5 avenue                        ,unspecified,passenger vehicle
2015-06-17,SMALL HOURS,33,8,0,spencer street                  ,unspecified,passenger vehicle
2015-06-18,AFTERNOON,174,32,1,1 avenue                        ,unspecified,passenger vehicle
2015-06-18,EVENING,77,32,0,east houston street             ,unspecified,passenger vehicle
2015-06-18,MORNING,156,33,0,5 avenue                        ,unspecified,passenger vehicle
2015-06-18,SMALL HOURS,37,10,0,union hall street               ,unspecified,passenger vehicle
2015-06-19,AFTERNOON,237,44,0,west street                     ,unspecified,passenger vehicle
2015-06-19,EVENING,122,22,0,east 59 street                  ,unspecified,passenger vehicle
2015-06-19,MORNING,145,30,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-19,SMALL HOURS,35,8,0,2 avenue                        ,unspecified,passenger vehicle
2015-06-20,AFTERNOON,120,33,0,1 avenue                        ,unspecified,passenger vehicle
2015-06-20,EVENING,87,29,0,south conduit avenue            ,unspecified,passenger vehicle
2015-06-20,MORNING,85,34,0,linden boulevard                ,unspecified,passenger vehicle
2015-06-20,SMALL HOURS,53,16,0,2 avenue                        ,unspecified,passenger vehicle
2015-06-21,AFTERNOON,181,76,0,atlantic avenue                 ,unspecified,passenger vehicle
2015-06-21,EVENING,94,40,0,lexington avenue                ,unspecified,passenger vehicle
2015-06-21,MORNING,80,16,0,stone avenue                    ,unspecified,passenger vehicle
2015-06-21,SMALL HOURS,95,24,0,broadway                        ,unspecified,passenger vehicle
2015-06-22,AFTERNOON,228,58,0,queens boulevard                ,unspecified,passenger vehicle
