DATE,TIME OF DAY,NUMBER OF CRASHES,PERSONS INJURED,PERSONS KILLED,PEAK LOCATION,MAIN FACTOR,MAIN TYPE OF CAR
2012-07-17,EVENING,91,35,0,broadway                        ,unspecified,passenger vehicle
2012-07-17,MORNING,162,29,0,flatbush avenue                 ,unspecified,passenger vehicle
2012-07-17,SMALL HOURS,36,14,0,broadway                        ,unspecified,passenger vehicle
2012-07-18,AFTERNOON,177,35,0,broadway                        ,unspecified,passenger vehicle
2012-07-18,EVENING,83,12,1,broadway                        ,unspecified,passenger vehicle
2012-07-18,MORNING,138,30,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-07-18,SMALL HOURS,37,13,0,broadway                        ,unspecified,passenger vehicle
2012-07-19,AFTERNOON,159,40,0,west 181 street                 ,unspecified,passenger vehicle
2012-07-19,EVENING,61,24,0,coney island avenue             ,unspecified,passenger vehicle
2012-07-19,MORNING,131,35,0,1 avenue                        ,unspecified,passenger vehicle
2012-07-19,SMALL HOURS,34,10,0,saint johns place               ,unspecified,passenger vehicle
2012-07-20,AFTERNOON,204,49,0,northern boulevard              ,unspecified,passenger vehicle
2012-07-20,EVENING,108,24,0,east 57 street                  ,unspecified,passenger vehicle
2012-07-20,MORNING,104,38,0,2 avenue                        ,unspecified,passenger vehicle
2012-07-20,SMALL HOURS,53,8,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-07-21,AFTERNOON,141,32,0,broadway                        ,unspecified,passenger vehicle
2012-07-21,EVENING,91,37,1,liberty avenue                  ,unspecified,passenger vehicle
2012-07-21,MORNING,83,23,0,11 avenue                       ,unspecified,passenger vehicle
2012-07-21,SMALL HOURS,70,18,0,21 street                       ,unspecified,passenger vehicle
2012-07-22,AFTERNOON,143,43,0,northern boulevard              ,unspecified,passenger vehicle
2012-07-22,EVENING,74,20,1,jamaica avenue                  ,unspecified,passenger vehicle
2012-07-22,MORNING,73,33,0,northern boulevard              ,unspecified,passenger vehicle
2012-07-22,SMALL HOURS,91,36,5,broadway                        ,unspecified,passenger vehicle
2012-07-23,AFTERNOON,163,47,0,ocean parkway                   ,unspecified,passenger vehicle
2012-07-23,EVENING,74,31,0,east 79 street                  ,unspecified,passenger vehicle
2012-07-23,MORNING,116,25,0,liberty avenue                  ,unspecified,passenger vehicle
2012-07-23,SMALL HOURS,40,11,0,19 avenue                       ,unspecified,passenger vehicle
2012-07-24,AFTERNOON,195,38,0,queens boulevard                ,unspecified,passenger vehicle
2012-07-24,EVENING,78,15,0,broadway                        ,unspecified,passenger vehicle
2012-07-24,MORNING,131,20,0,broadway                        ,unspecified,passenger vehicle
2012-07-24,SMALL HOURS,34,6,0,montgomery street               ,unspecified,passenger vehicle
2012-07-25,AFTERNOON,213,61,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-07-25,EVENING,86,23,0,bushwick avenue                 ,unspecified,passenger vehicle
2012-07-25,MORNING,138,47,0,atlantic avenue                 ,unspecified,passenger vehicle
